Genes	ENTREZ_ID	Genes
MAP1LC3C	440738	MAP1LC3C
TRIM67	440730	TRIM67
LRRC52	440699	LRRC52
ETV3L	440695	ETV3L
HIST2H2BF	440689	HIST2H2BF
HIST2H3PS2	440686	HIST2H3PS2
BCL2L15	440603	BCL2L15
ZYG11A	440590	ZYG11A
FAM183A	440585	FAM183A
MINOS1	440574	MINOS1
UQCRHL	440567	UQCRHL
PRAMEF6	440561	PRAMEF6
PRAMEF11	440560	PRAMEF11
PSG8	440533	PSG8
ZNF506	440515	ZNF506
PLIN5	440503	PLIN5
HSBP1L1	440498	HSBP1L1
GPR179	440435	GPR179
RNASEK	440400	RNASEK
CTRB2	440387	CTRB2
NPIPB7	440350	NPIPB7
NPIPB15	440348	NPIPB15
NPIPB4	440345	NPIPB4
SMIM22	440335	SMIM22
GOLGA6L9	440295	GOLGA6L9
UNC13C	440279	UNC13C
EIF2AK4	440275	EIF2AK4
GOLGA8B	440270	GOLGA8B
GOLGA6L22	440243	GOLGA6L22
CCDC88C	440193	CCDC88C
RNASE13	440163	RNASE13
OR11H12	440153	OR11H12
MZT1	440145	MZT1
ALG11	440138	ALG11
PLEKHG7	440107	PLEKHG7
DBX2	440097	DBX2
